Bulan/Tahun,Provinsi Jawa Batat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kabupaten Bogor,,Kabupaten Sukabumi,,Kabupaten Cianjur,,Kabupaten Bandung,,Kabupaten Garut,,Kabupaten Tasikmalaya,,Kabupaten Ciamis,,Kabupaten Kuningan,,Kabupaten Cirebon,,Kabupaten Majalengka,,Kabupaten Sumedang,,Kabupaten Indramayu,,Kabupaten Subang,,Kabupaten Purwakarta,,Kabupaten Karawang,,Kabupaten Bekasi,,Kabupaten Bandung Barat,,Kabupaten Pangandaran,,Kota Bogor,,Kota Sukabumi,,Kota Bandung,,Kota Cirebon,,Kota Bekasi,,Kota Depok,,Kota Cimahi,,Kota Tasikmalaya,,Kota Banjar,
,Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton)
Jan-10,38465.95,17054.69,20864.41,25509.80,19346.09,14531.10,28355.00,14531.10,21429.79,28303.90,14931.38,26940.01,10047.50,22943.33,9058.28,11867.45,18084.42,16156.22,10202.34,18378.86,9745.42,14348.34,14553.17,42998.55,12820.82,29113.96,7601.03,7561.11,18969.13,35260.60,23504.87,18676.55,13465.47,8462.30,3357.51,5119.26,8475.90,263.70,2663.00,686.30,21339.26,258.83,2593.93,136.11,20843.90,180.67,15531.51,152.82,4825.96,120.47,5661.82,2798.46,1561.51,1515.79
Feb-10,42587.30,41224.92,18845.27,61662.77,17473.88,35124.85,28953.99,35124.85,19355.94,68416.71,13486.41,65119.89,9075.16,55459.04,8181.67,28686.22,16334.31,39053.13,9215.01,44425.71,8802.31,34683.07,13144.79,103936.90,11580.09,70374.80,6865.45,18276.86,17133.41,85232.57,21230.20,45145.31,12162.36,20455.23,3032.59,12374.38,7655.65,637.42,2405.29,1658.93,19274.17,625.64,2342.90,329.00,18826.75,436.73,14028.46,369.40,4358.93,291.20,5113.91,6764.49,1410.40,3664.00
Mar-10,41213.52,83522.81,20864.41,124930.47,19346.09,71163.91,29545.45,71163.91,21429.79,138614.12,14931.38,131934.67,10047.50,112361.53,9058.28,58119.07,18084.42,79122.70,10202.34,90007.71,9745.42,70268.85,14553.17,210579.00,12820.82,142581.27,7601.03,37029.41,18969.13,172683.52,23504.87,91465.63,13465.47,41442.85,3357.51,25070.82,8475.90,1291.43,2663.00,3361.04,21339.26,1267.56,2593.93,666.57,20843.90,884.83,15531.51,748.41,4825.96,589.99,5661.82,13705.05,1561.51,7423.37
Apr-10,42587.30,67541.09,20191.36,101025.58,18722.02,57547.02,30127.49,57547.02,20738.50,112090.94,14449.73,106689.57,9723.39,90861.65,8766.08,46998.25,17501.05,63982.93,9873.23,72785.14,9431.05,56823.22,14083.71,170285.66,12407.24,115298.99,7355.84,29944.00,18357.23,139641.30,22746.65,73964.09,13031.10,33512.95,3249.21,20273.63,8202.48,1044.32,2577.10,2717.92,20650.89,1025.02,2510.25,539.02,20171.51,715.52,15030.50,605.21,4670.29,477.10,5479.18,11082.65,1511.14,6002.94
May-10,41213.52,46872.16,20864.41,70109.73,19346.09,39936.48,30701.80,39936.48,21429.79,77788.86,14931.38,74040.42,10047.50,63056.16,9058.28,32615.84,18084.42,44402.87,10202.34,50511.43,9745.42,39434.18,14553.17,118174.83,12820.82,80015.18,7601.03,20780.53,18969.13,96908.26,23504.87,51329.60,13465.47,23257.31,3357.51,14069.50,8475.90,724.74,2663.00,1886.18,21339.26,711.34,2593.93,374.07,20843.90,496.56,15531.51,420.00,4825.96,331.10,5661.82,7691.14,1561.51,4165.92
Jun-10,42587.30,47211.00,20191.36,70616.55,18722.02,40225.17,31265.53,40225.17,20738.50,78351.19,14449.73,74575.65,9723.39,63511.99,8766.08,32851.62,17501.05,44723.85,9873.23,50876.57,9431.05,39719.24,14083.71,119029.10,12407.24,80593.61,7355.84,20930.76,18357.23,97608.80,22746.65,51700.65,13031.10,23425.44,3249.21,14171.20,8202.48,729.98,2577.10,1899.82,20650.89,716.48,2510.25,376.77,20171.51,500.15,15030.50,423.04,4670.29,333.49,5479.18,7746.73,1511.14,4196.03
Jul-10,42587.30,57658.41,20864.41,86243.41,19346.09,49126.68,31818.53,49126.68,21429.79,95689.67,14931.38,91078.64,10047.50,77566.68,9058.28,40121.42,18084.42,54620.88,10202.34,62135.14,9745.42,48508.79,14553.17,145369.28,12820.82,98428.32,7601.03,25562.56,18969.13,119208.84,23504.87,63141.59,13465.47,28609.30,3357.51,17307.17,8475.90,891.52,2663.00,2320.23,21339.26,875.04,2593.93,460.15,20843.90,610.82,15531.51,516.65,4825.96,407.29,5661.82,9461.02,1561.51,5124.58
Aug-10,41213.52,49808.73,20864.41,74502.15,19346.09,42438.52,32357.99,42438.52,21429.79,82662.38,14931.38,78679.10,10047.50,67006.67,9058.28,34659.24,18084.42,47184.74,10202.34,53676.00,9745.42,41904.75,14553.17,125578.55,12820.82,85028.18,7601.03,22082.45,18969.13,102979.62,23504.87,54545.43,13465.47,24714.40,3357.51,14950.96,8475.90,770.14,2663.00,2004.35,21339.26,755.91,2593.93,397.51,20843.90,527.67,15531.51,446.32,4825.96,351.84,5661.82,8172.99,1561.51,4426.92
Sep-10,42587.30,47041.58,20191.36,70363.14,18722.02,40080.82,32886.06,40080.82,20738.50,78070.02,14449.73,74308.04,9723.39,63284.08,8766.08,32733.73,17501.05,44563.36,9873.23,50694.00,9431.05,39576.71,14083.71,118601.97,12407.24,80304.40,7355.84,20855.64,18357.23,97258.53,22746.65,51515.13,13031.10,23341.37,3249.21,14120.35,8202.48,727.36,2577.10,1893.00,20650.89,713.91,2510.25,375.42,20171.51,498.35,15030.50,421.52,4670.29,332.29,5479.18,7718.94,1511.14,4180.98
Oct-10,41213.52,29422.17,20864.41,44008.64,19346.09,25068.56,33399.06,25068.56,21429.79,48828.91,14931.38,46475.97,10047.50,39581.04,9058.28,20473.32,18084.42,27872.16,10202.34,31706.57,9745.42,24753.26,14553.17,74179.62,12820.82,50226.40,7601.03,13044.17,18969.13,60830.37,23504.87,32220.14,13465.47,14598.87,3357.51,8831.57,8475.90,454.93,2663.00,1183.98,21339.26,446.52,2593.93,234.81,20843.90,311.69,15531.51,263.64,4825.96,207.83,5661.82,4827.81,1561.51,2614.99
Nov-10,42587.30,26316.18,20191.36,39362.81,18722.02,22422.17,25610.97,22422.17,20738.50,43674.23,14449.73,41569.68,9723.39,35402.62,8766.08,18312.03,17501.05,24929.80,9873.23,28359.43,9431.05,22140.15,14083.71,66348.76,12407.24,44924.19,7355.84,11667.14,18357.23,54408.74,22746.65,28818.79,13031.10,13057.72,3249.21,7899.26,8202.48,406.90,2577.10,1058.99,20650.89,399.38,2510.25,210.02,20171.51,278.79,15030.50,235.81,4670.29,185.89,5479.18,4318.16,1511.14,2338.94
