Bulan/Tahun,Provinsi Jawa Barat,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kabupaten Bogor,Kabupaten Sukabumi,Kabupaten Cianjur,Kabupaten Bandung,Kabupaten Garut,Kabupaten Tasikmalaya,Kabupaten Ciamis,Kabupaten Kuningan,Kabupaten Cirebon,Kabupaten Majalengka,Kabupaten Sumedang,Kabupaten Indramayu,Kabupaten Subang,Kabupaten Purwakarta,Kabupaten Karawang,Kabupaten Bekasi,Kabupaten Bandung Barat,Kabupaten Pangandaran,Kota Bogor,Kota Sukabumi,Kota Bandung,Kota Cirebon,Kota Bekasi,Kota Depok,Kota Cimahi,Kota Tasikmalaya,Kota Banjar
,Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton)
17-Jan,-35291.67,-5582.74,-10200.2,-19948.08,-5060.93,818.81,942.14,-1935.21,-8053.23,2568.85,-759.46,14895.73,7805.29,-3975.7,4132.81,-19637.26,-9866.99,173.44,-9467.49,-2411.29,-21888.33,-2717.13,-25218.39,-19888.98,-5262.3,-4382.8,-775.31
17-Feb,-25481,19367.36,5568.55,-6656.83,22441.45,25382.75,18108.76,9629.62,9458.88,22198.17,13519.51,58909.82,39795.28,3024.89,41016.86,-588.37,-1529.5,5711.18,-8405.99,-1491.8,-19451.6,-2371.23,-22656.59,-17879.16,-4669.04,-1735.37,568.79
17-Mar,1881.11,57253.56,27850.98,17022.4,64475.47,64255.78,45367.5,27353.11,35020.59,53739,35808.58,131908.49,92099.02,13054.93,100110.05,24506.78,9137.49,14472,-9093.49,-645.02,-21068.43,-2503.6,-24906.11,-19669.95,-5046.04,1340.44,2491.57
17-Apr,-9472.03,42845.27,19345.87,7351.25,48494.82,49501.53,35023.1,20615.82,25280.14,41776.22,27343.26,104261.73,72277.19,9229.27,77694.19,14891.54,5043.61,11146.78,-8874.91,-977.3,-20552.71,-2465.53,-24165.12,-19079.22,-4926.5,153.08,1758.12
17-May,-20414.65,22605.51,6869.49,-4992.18,26132.97,29276.52,20871.27,11203.48,11269.6,25523.68,15644.89,67387.43,45619.3,3664.21,47188.02,165.68,-1341.61,6587.75,-9299.71,-1618.94,-21520.53,-2621.34,-25078.3,-19790.73,-5165.29,-1815.37,690.2
17-Jun,-21839.47,23626.01,7707.45,-5294.67,27226.25,30098.55,21435.05,11657.62,12105.48,26125.2,16158.47,68471.93,46494.91,4020.24,48338.36,1389.55,-769.15,6773.39,-8989.31,-1517.54,-20803.49,-2530.84,-24260.63,-19146.22,-4992.64,-1597.44,758.91
17-Jul,-15483.98,32802.39,13044.32,4652.86,37417.13,39570.88,28080.49,15956.3,18259.49,33827.42,21579.04,86375.91,59298.23,6427.89,62762.91,7329.24,1742.38,8908.07,-9239.02,-1332.32,-21387.48,-2586.69,-25027.63,-19755.18,-5130.19,-886.62,1220.34
17-Aug,-18628.24,25381.62,8550.59,-439.85,29205.1,32079.17,22833.99,12497.44,13172.61,27784.39,17260.47,72557.07,49343.41,4416.63,51428.3,2115.96,-501.99,7219.46,-9283.19,-1540.91,-21484.3,-2611.91,-25064.51,-19781.05,-5155.73,-1562.51,834.53
17-Sep,-21942.53,23465.85,7610.46,-2615.43,27049.01,29936.86,21321.82,11582.97,11995.69,25994.77,16065.27,68173.68,46280.06,3976.83,48093.73,1277.03,-817.59,6736.94,-8990.26,-1522.04,-20805.58,-2531.38,-24261.43,-19146.77,-4993.2,-1612.03,750.58
